::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient
0.041666667,0.768183964,0.041666667,0.768183964,0.041666667,0.768183964,0.041666667,0.768183964,0.041666667,0.768183964,0.041666667,0.768183964
0.041938998,0.728726934,0.041938998,0.728726934,0.041938998,0.728726934,0.041938998,0.728726934,0.041938998,0.728726934,0.041938998,0.728726934
0.042211329,0.652857504,0.042211329,0.652857504,0.042211329,0.652857504,0.042211329,0.652857504,0.042211329,0.652857504,0.042211329,0.652857504
0.04248366,0.636115463,0.04248366,0.636115463,0.04248366,0.636115463,0.04248366,0.636115463,0.04248366,0.636115463,0.04248366,0.636115463
0.042755991,0.91902654,0.042755991,0.91902654,0.042755991,0.91902654,0.042755991,0.91902654,0.042755991,0.91902654,0.042755991,0.91902654
0.043028322,0.380804466,0.043028322,0.380804466,0.043028322,0.380804466,0.043028322,0.380804466,0.043028322,0.380804466,0.043028322,0.380804466
0.043300654,0.230023468,0.043300654,0.230023468,0.043300654,0.230023468,0.043300654,0.230023468,0.043300654,0.230023468,0.043300654,0.230023468
0.043572985,0.286503055,0.043572985,0.286503055,0.043572985,0.286503055,0.043572985,0.286503055,0.043572985,0.286503055,0.043572985,0.286503055
0.043845316,0.497820866,0.043845316,0.497820866,0.043845316,0.497820866,0.043845316,0.497820866,0.043845316,0.497820866,0.043845316,0.497820866
0.044117647,0.389438899,0.044117647,0.389438899,0.044117647,0.389438899,0.044117647,0.389438899,0.044117647,0.389438899,0.044117647,0.389438899
0.044389978,0.26159867,0.044389978,0.26159867,0.044389978,0.26159867,0.044389978,0.26159867,0.044389978,0.26159867,0.044389978,0.26159867
0.044662309,0.206200097,0.044662309,0.206200097,0.044662309,0.206200097,0.044662309,0.206200097,0.044662309,0.206200097,0.044662309,0.206200097
0.044934641,0.410470789,0.044934641,0.410470789,0.044934641,0.410470789,0.044934641,0.410470789,0.044934641,0.410470789,0.044934641,0.410470789
0.045206972,0.256125179,0.045206972,0.256125179,0.045206972,0.256125179,0.045206972,0.256125179,0.045206972,0.256125179,0.045206972,0.256125179
0.045479303,0.356686896,0.045479303,0.356686896,0.045479303,0.356686896,0.045479303,0.356686896,0.045479303,0.356686896,0.045479303,0.356686896
0.045751634,0.132766371,0.045751634,0.132766371,0.045751634,0.132766371,0.045751634,0.132766371,0.045751634,0.132766371,0.045751634,0.132766371
0.046023965,0.132766371,0.046023965,0.132766371,0.046023965,0.132766371,0.046023965,0.132766371,0.046023965,0.132766371,0.046023965,0.132766371
0.046296296,0.012814811,0.046296296,0.012814811,0.046296296,0.012814811,0.046296296,0.012814811,0.046296296,0.012814811,0.046296296,0.012814811
0.046568627,0.146128531,0.046568627,0.146128531,0.046568627,0.146128531,0.046568627,0.146128531,0.046568627,0.146128531,0.046568627,0.146128531
0.046840959,0.150787841,0.046840959,0.150787841,0.046840959,0.150787841,0.046840959,0.150787841,0.046840959,0.150787841,0.046840959,0.150787841
0.04711329,0.221744812,0.04711329,0.221744812,0.04711329,0.221744812,0.04711329,0.221744812,0.04711329,0.221744812,0.04711329,0.221744812
0.047385621,0.258711403,0.047385621,0.258711403,0.047385621,0.258711403,0.047385621,0.258711403,0.047385621,0.258711403,0.047385621,0.258711403
0.047657952,0.421438297,0.047657952,0.421438297,0.047657952,0.421438297,0.047657952,0.421438297,0.047657952,0.421438297,0.047657952,0.421438297
0.047930283,0.47158916,0.047930283,0.47158916,0.047930283,0.47158916,0.047930283,0.47158916,0.047930283,0.47158916,0.047930283,0.47158916
0.048202614,0.583699943,0.048202614,0.583699943,0.048202614,0.583699943,0.048202614,0.583699943,0.048202614,0.583699943,0.048202614,0.583699943
0.048474946,0.349975027,0.048474946,0.349975027,0.048474946,0.349975027,0.048474946,0.349975027,0.048474946,0.349975027,0.048474946,0.349975027
0.048747277,0.490773746,0.048747277,0.490773746,0.048747277,0.490773746,0.048747277,0.490773746,0.048747277,0.490773746,0.048747277,0.490773746
0.049019608,0.364513988,0.049019608,0.364513988,0.049019608,0.364513988,0.049019608,0.364513988,0.049019608,0.364513988,0.049019608,0.364513988
0.049291939,0.330879385,0.049291939,0.330879385,0.049291939,0.330879385,0.049291939,0.330879385,0.049291939,0.330879385,0.049291939,0.330879385
0.04956427,0.506229517,0.04956427,0.506229517,0.04956427,0.506229517,0.04956427,0.506229517,0.04956427,0.506229517,0.04956427,0.506229517
0.049836601,0.330879385,0.049836601,0.330879385,0.049836601,0.330879385,0.049836601,0.330879385,0.049836601,0.330879385,0.049836601,0.330879385
0.050108932,0.401836356,0.050108932,0.401836356,0.050108932,0.401836356,0.050108932,0.401836356,0.050108932,0.401836356,0.050108932,0.401836356
0.050381264,0.380804466,0.050381264,0.380804466,0.050381264,0.380804466,0.050381264,0.380804466,0.050381264,0.380804466,0.050381264,0.380804466
0.050653595,0.514118186,0.050653595,0.514118186,0.050653595,0.514118186,0.050653595,0.514118186,0.050653595,0.514118186,0.050653595,0.514118186
